#{"t_start": 1764218052.2469642, "env_id": "CartPole-v1"}
r,l,t
235.0,235,13.665761
311.0,311,14.097067
265.0,265,14.424639
318.0,318,14.784907
435.0,435,15.254535
290.0,290,15.565869
259.0,259,16.855948
247.0,247,17.076895
221.0,221,17.287925
179.0,179,17.475617
318.0,318,17.811869
146.0,146,17.95289
196.0,196,18.144921
147.0,147,18.295252
169.0,169,18.47181
134.0,134,18.624845
167.0,167,18.817856
205.0,205,19.038614
147.0,147,19.183572
153.0,153,19.349603
144.0,144,19.507631
173.0,173,19.685165
159.0,159,19.860431
147.0,147,20.016514
150.0,150,20.178699
154.0,154,20.363876
201.0,201,20.5559
160.0,160,20.724932
148.0,148,20.889899
146.0,146,21.066045
147.0,147,21.261379
154.0,154,21.438928
149.0,149,21.58112
159.0,159,21.798728
144.0,144,21.968555
168.0,168,22.170514
165.0,165,23.162555
176.0,176,23.372258
183.0,183,23.605307
186.0,186,23.838629
172.0,172,24.064921
136.0,136,24.238295
132.0,132,24.38381
130.0,130,24.524174
156.0,156,24.729004
156.0,156,24.912758
144.0,144,25.102488
188.0,188,25.341519
131.0,131,25.491547
165.0,165,25.695833
173.0,173,25.911555
141.0,141,26.087313
191.0,191,26.344939
155.0,155,26.539057
134.0,134,26.707936
375.0,375,27.08516
145.0,145,27.255264
266.0,266,27.537303
232.0,232,27.787735
128.0,128,27.943228
325.0,325,28.301929
148.0,148,28.454319
141.0,141,28.58937
181.0,181,28.779319
179.0,179,29.680365
175.0,175,29.856128
155.0,155,29.991723
145.0,145,30.135829
180.0,180,30.317369
155.0,155,30.474369
142.0,142,30.631509
217.0,217,30.842596
386.0,386,31.22897
144.0,144,31.360843
164.0,164,31.530893
191.0,191,31.736346
193.0,193,31.936991
138.0,138,32.095594
191.0,191,32.279424
156.0,156,32.444526
398.0,398,32.857769
255.0,255,33.113872
248.0,248,33.36972
190.0,190,33.567546
191.0,191,33.808275
160.0,160,33.987357
194.0,194,34.205305
195.0,195,34.453985
238.0,238,34.730208
203.0,203,36.285747
218.0,218,36.52162
313.0,313,36.843125
253.0,253,37.162287
272.0,272,37.400882
205.0,205,37.62979
219.0,219,37.89996
258.0,258,38.216697
222.0,222,38.489081
163.0,163,38.688541
211.0,211,38.96018
233.0,233,39.217849
163.0,163,39.401322
287.0,287,39.646932
291.0,291,39.959389
263.0,263,40.176379
256.0,256,40.41755
266.0,266,40.678171
167.0,167,40.839258
201.0,201,41.036469
91.0,91,41.127008
166.0,166,41.281067
194.0,194,42.01867
175.0,175,42.204745
159.0,159,42.37892
171.0,171,42.550061
79.0,79,42.621991
156.0,156,42.787133
132.0,132,42.929342
227.0,227,43.160978
153.0,153,43.321543
125.0,125,43.455624
128.0,128,43.5882
146.0,146,43.729365
49.0,49,43.762884
45.0,45,43.796885
152.0,152,43.92343
201.0,201,44.095507
115.0,115,44.216172
118.0,118,44.332703
55.0,55,44.381224
113.0,113,44.480774
123.0,123,44.610852
120.0,120,44.723921
127.0,127,44.848972
125.0,125,44.964515
119.0,119,45.083075
153.0,153,45.224458
32.0,32,45.264995
121.0,121,45.398897
164.0,164,45.554032
140.0,140,45.691577
53.0,53,45.746107
114.0,114,45.863189
146.0,146,46.019745
301.0,301,46.372001
231.0,231,46.612089
146.0,146,46.760242
230.0,230,47.040874
102.0,102,47.929393
238.0,238,48.115573
200.0,200,48.320674
13.0,13,48.338681
26.0,26,48.369229
167.0,167,48.550213
198.0,198,48.770915
197.0,197,48.979034
29.0,29,49.000984
69.0,69,49.078073
227.0,227,49.364778
171.0,171,49.531461
212.0,212,49.769092
63.0,63,49.852618
185.0,185,50.05876
69.0,69,50.140781
229.0,229,50.386392
110.0,110,50.523592
74.0,74,50.623132
253.0,253,50.933813
36.0,36,50.967334
198.0,198,51.214412
148.0,148,51.400929
170.0,170,51.560017
44.0,44,51.601017
160.0,160,51.794104
40.0,40,51.844016
116.0,116,51.98481
63.0,63,52.054344
70.0,70,52.146968
70.0,70,52.230968
166.0,166,52.416054
98.0,98,52.526599
64.0,64,52.603158
67.0,67,52.681414
180.0,180,52.851548
160.0,160,53.010563
188.0,188,53.202178
162.0,162,53.384396
60.0,60,54.430861
114.0,114,54.537414
68.0,68,54.605988
61.0,61,54.665575
109.0,109,54.775118
33.0,33,54.81311
23.0,23,54.833113
70.0,70,54.917645
66.0,66,54.983286
156.0,156,55.138856
11.0,11,55.153398
161.0,161,55.30862
14.0,14,55.321621
41.0,41,55.356174
226.0,226,55.568099
198.0,198,55.763252
157.0,157,55.926707
67.0,67,55.983329
168.0,168,56.147858
67.0,67,56.221415
187.0,187,56.404386
148.0,148,56.560523
146.0,146,56.70808
167.0,167,56.869301
116.0,116,56.985742
59.0,59,57.043828
78.0,78,57.125352
81.0,81,57.208337
78.0,78,57.289867
145.0,145,57.431932
123.0,123,57.554016
129.0,129,57.685558
212.0,212,57.899159
186.0,186,58.050987
203.0,203,58.207563
81.0,81,58.272111
135.0,135,58.389658
78.0,78,58.465856
152.0,152,58.651124
107.0,107,58.782401
61.0,61,58.849432
158.0,158,59.042571
90.0,90,59.139154
136.0,136,59.253796
161.0,161,60.086245
131.0,131,60.244625
159.0,159,60.437762
75.0,75,60.517888
148.0,148,60.632565
134.0,134,60.790591
139.0,139,60.967014
175.0,175,61.177766
25.0,25,61.204765
129.0,129,61.357815
146.0,146,61.537164
180.0,180,61.780575
133.0,133,61.953622
160.0,160,62.156765
160.0,160,62.315711
125.0,125,62.46222
123.0,123,62.614753
125.0,125,62.769588
139.0,139,62.952672
116.0,116,63.095823
128.0,128,63.242359
116.0,116,63.387634
116.0,116,63.481861
112.0,112,63.572031
113.0,113,63.705767
123.0,123,63.84132
117.0,117,63.985473
123.0,123,64.143795
117.0,117,64.299278
19.0,19,64.318306
116.0,116,64.466093
128.0,128,64.616663
117.0,117,64.730218
128.0,128,64.892336
119.0,119,65.027458
139.0,139,65.179587
124.0,124,65.307136
116.0,116,65.419673
134.0,134,65.535855
128.0,128,65.676213
115.0,115,66.252506
124.0,124,66.386119
118.0,118,66.485665
112.0,112,66.574725
124.0,124,66.669193
115.0,115,66.78173
112.0,112,66.904265
113.0,113,67.014896
124.0,124,67.162032
115.0,115,67.276584
111.0,111,67.400032
115.0,115,67.512579
119.0,119,67.628724
113.0,113,67.732056
117.0,117,67.839007
113.0,113,67.941541
109.0,109,68.048045
119.0,119,68.162067
117.0,117,68.27413
118.0,118,68.37333
114.0,114,68.490426
109.0,109,68.608757
116.0,116,68.72114
118.0,118,68.836704
115.0,115,68.949347
129.0,129,69.078436
111.0,111,69.183963
113.0,113,69.300098
114.0,114,69.409602
127.0,127,69.510327
123.0,123,69.615177
113.0,113,69.704736
119.0,119,69.819296
115.0,115,69.925008
108.0,108,70.023548
114.0,114,70.105749
118.0,118,70.200355
115.0,115,70.301892
115.0,115,70.418438
112.0,112,70.529965
113.0,113,70.627022
129.0,129,70.730579
116.0,116,70.823137
120.0,120,71.364936
131.0,131,71.467305
121.0,121,71.569838
121.0,121,71.683443
126.0,126,71.777104
127.0,127,71.894016
118.0,118,71.98854
125.0,125,72.095065
117.0,117,72.221298
132.0,132,72.390753
124.0,124,72.493089
118.0,118,72.617654
123.0,123,72.755197
115.0,115,72.852024
113.0,113,72.945487
113.0,113,73.061615
119.0,119,73.206212
114.0,114,73.327726
109.0,109,73.415375
119.0,119,73.519452
21.0,21,73.53452
117.0,117,73.629681
112.0,112,73.759221
103.0,103,73.852794
110.0,110,73.944317
109.0,109,74.032915
104.0,104,74.132258
112.0,112,74.256865
114.0,114,74.34464
116.0,116,74.463281
115.0,115,74.570624
110.0,110,74.667232
117.0,117,74.786302
112.0,112,74.892745
110.0,110,74.985162
112.0,112,75.106787
107.0,107,75.226363
106.0,106,75.333
109.0,109,75.424561
12.0,12,75.433676
111.0,111,75.529127
105.0,105,75.620641
111.0,111,75.736374
106.0,106,75.835963
106.0,106,75.923656
110.0,110,76.393696
109.0,109,76.505229
115.0,115,76.609075
114.0,114,76.705757
108.0,108,76.815328
14.0,14,76.832329
114.0,114,76.955898
105.0,105,77.059626
117.0,117,77.17737
116.0,116,77.269172
108.0,108,77.362421
106.0,106,77.446963
118.0,118,77.559762
107.0,107,77.645165
113.0,113,77.763616
109.0,109,77.871485
16.0,16,77.884512
120.0,120,77.993606
120.0,120,78.101116
110.0,110,78.188716
114.0,114,78.281317
115.0,115,78.373908
142.0,142,78.505118
105.0,105,78.591676
115.0,115,78.682288
110.0,110,78.77604
12.0,12,78.786898
11.0,11,78.795909
112.0,112,78.892466
110.0,110,78.981042
13.0,13,78.994056
114.0,114,79.099606
119.0,119,79.20097
121.0,121,79.305911
120.0,120,79.40545
135.0,135,79.514019
151.0,151,79.640221
114.0,114,79.743128
107.0,107,79.85349
121.0,121,79.957357
121.0,121,80.060148
151.0,151,80.210507
133.0,133,80.32908
11.0,11,80.337086
151.0,151,80.454661
128.0,128,80.562215
179.0,179,80.703381
116.0,116,81.261434
118.0,118,81.361558
128.0,128,81.458098
131.0,131,81.573152
125.0,125,81.671193
131.0,131,81.780282
128.0,128,81.892264
130.0,130,81.998789
125.0,125,82.096557
139.0,139,82.236885
104.0,104,82.338424
201.0,201,82.50253
153.0,153,82.633248
106.0,106,82.720704
153.0,153,82.898824
161.0,161,83.036379
117.0,117,83.127897
149.0,149,83.25061
131.0,131,83.350223
113.0,113,83.443726
122.0,122,83.545614
129.0,129,83.648308
109.0,109,83.779277
136.0,136,83.89922
125.0,125,83.999692
107.0,107,84.086311
14.0,14,84.097377
104.0,104,84.214865
119.0,119,84.313398
106.0,106,84.410924
110.0,110,84.503832
120.0,120,84.602393
98.0,98,84.687914
109.0,109,84.81467
113.0,113,84.926069
114.0,114,85.022277
116.0,116,85.143079
120.0,120,85.285201
114.0,114,85.415749
109.0,109,85.525283
122.0,122,85.628823
131.0,131,85.803744
105.0,105,86.364804
132.0,132,86.478916
117.0,117,86.575429
118.0,118,86.671451
141.0,141,86.838532
114.0,114,86.954104
131.0,131,87.066867
113.0,113,87.173466
132.0,132,87.325989
119.0,119,87.42852
137.0,137,87.532225
153.0,153,87.656777
175.0,175,87.804923
105.0,105,87.888925
135.0,135,88.013521
132.0,132,88.142092
131.0,131,88.305431
119.0,119,88.411561
119.0,119,88.500187
120.0,120,88.602608
126.0,126,88.701153
148.0,148,88.825699
139.0,139,88.939556
110.0,110,89.033275
145.0,145,89.147981
114.0,114,89.245298
117.0,117,89.333894
140.0,140,89.444444
127.0,127,89.544029
115.0,115,89.641678
23.0,23,89.663678
116.0,116,89.769533
114.0,114,89.873183
115.0,115,89.975571
137.0,137,90.077109
125.0,125,90.180384
120.0,120,90.276076
127.0,127,90.391131
119.0,119,90.488401
152.0,152,90.611996
120.0,120,91.220802
123.0,123,91.327625
115.0,115,91.420328
132.0,132,91.530924
106.0,106,91.621093
121.0,121,91.72163
128.0,128,91.826166
154.0,154,91.950725
170.0,170,92.097707
187.0,187,92.282487
145.0,145,92.398214
147.0,147,92.517696
164.0,164,92.648403
144.0,144,92.788518
153.0,153,92.94581
105.0,105,93.048481
143.0,143,93.193986
127.0,127,93.313652
122.0,122,93.413741
195.0,195,93.58038
129.0,129,93.690799
166.0,166,93.848529
110.0,110,93.95003
224.0,224,94.189586
239.0,239,94.446007
130.0,130,94.56163
186.0,186,94.712489
351.0,351,95.113482
96.0,96,95.23223
218.0,218,95.423327
148.0,148,95.542343
159.0,159,95.675029
117.0,117,96.681599
50.0,50,96.727128
142.0,142,96.845728
138.0,138,96.952282
131.0,131,97.047851
81.0,81,97.113393
121.0,121,97.210938
96.0,96,97.318633
167.0,167,97.516036
121.0,121,97.641572
98.0,98,97.726204
124.0,124,97.867675
101.0,101,97.99278
114.0,114,98.131412
154.0,154,98.252566
59.0,59,98.301146
63.0,63,98.353145
66.0,66,98.415681
13.0,13,98.42768
104.0,104,98.516918
58.0,58,98.560918
75.0,75,98.631258
100.0,100,98.713652
127.0,127,98.816423
130.0,130,98.921925
121.0,121,99.016444
196.0,196,99.177423
128.0,128,99.272958
174.0,174,99.428266
215.0,215,99.60034
141.0,141,99.715872
166.0,166,99.849426
234.0,234,100.03712
143.0,143,100.17119
107.0,107,100.258572
148.0,148,100.37917
168.0,168,100.50998
179.0,179,100.669578
163.0,163,100.808923
199.0,199,100.965467
204.0,204,101.51123
198.0,198,101.669795
500.0,500,102.076066
233.0,233,102.27123
150.0,150,102.398485
174.0,174,102.537016
156.0,156,102.661116
179.0,179,102.812686
183.0,183,102.956265
248.0,248,103.166349
18.0,18,103.181367
189.0,189,103.335601
332.0,332,103.598703
167.0,167,103.730963
171.0,171,103.875486
145.0,145,103.993221
25.0,25,104.014825
213.0,213,104.186283
223.0,223,104.372364
210.0,210,104.538474
45.0,45,104.576666
195.0,195,104.745484
265.0,265,104.963631
185.0,185,105.113725
201.0,201,105.282086
274.0,274,106.608728
240.0,240,106.794344
288.0,288,107.027585
40.0,40,107.059585
274.0,274,107.278808
211.0,211,107.446874
35.0,35,107.472873
500.0,500,107.878738
227.0,227,108.067062
319.0,319,108.327724
32.0,32,108.353732
192.0,192,108.509624
141.0,141,108.63429
149.0,149,108.753703
234.0,234,108.938637
66.0,66,108.987666
180.0,180,109.133343
450.0,450,109.519093
194.0,194,109.66372
232.0,232,109.851045
27.0,27,109.878726
142.0,142,109.988279
144.0,144,110.100673
180.0,180,110.242855
137.0,137,110.354415
142.0,142,110.464166
157.0,157,110.603834
