#{"t_start": 1764217744.5603702, "env_id": "CartPole-v1"}
r,l,t
140.0,140,75.101434
229.0,229,75.360487
152.0,152,75.534644
289.0,289,75.870616
292.0,292,76.21613
322.0,322,76.572167
233.0,233,78.143763
490.0,490,78.710105
126.0,126,78.869881
443.0,443,79.372847
176.0,176,79.585193
359.0,359,79.990739
278.0,278,81.534679
433.0,433,82.032259
461.0,461,82.556385
260.0,260,82.851218
500.0,500,86.386527
180.0,180,86.58729
217.0,217,88.021291
500.0,500,88.57859
500.0,500,89.16025
488.0,488,89.709924
500.0,500,90.269052
500.0,500,92.054272
500.0,500,92.648741
500.0,500,93.222359
500.0,500,93.777843
466.0,466,95.537089
500.0,500,99.227335
500.0,500,99.804481
500.0,500,100.384986
500.0,500,102.178051
500.0,500,102.752256
500.0,500,103.32279
500.0,500,103.910354
86.0,86,104.008411
500.0,500,105.809137
500.0,500,106.38796
500.0,500,110.977033
500.0,500,111.752731
500.0,500,114.439193
425.0,425,115.164612
500.0,500,116.035115
173.0,173,116.306647
500.0,500,116.956948
500.0,500,119.29906
500.0,500,119.95967
500.0,500,120.649375
500.0,500,121.318247
500.0,500,128.288277
500.0,500,128.941849
500.0,500,129.619574
500.0,500,130.246181
500.0,500,132.437216
500.0,500,133.140826
500.0,500,133.829544
500.0,500,134.500474
500.0,500,136.814142
500.0,500,137.497477
500.0,500,142.204352
500.0,500,142.877137
500.0,500,145.265219
500.0,500,145.920438
500.0,500,146.660331
500.0,500,147.489299
500.0,500,150.002324
500.0,500,150.850001
500.0,500,151.735228
500.0,500,152.556458
500.0,500,158.601999
500.0,500,159.342624
500.0,500,160.003862
500.0,500,160.787951
500.0,500,163.440579
500.0,500,164.283021
500.0,500,164.864923
500.0,500,165.669215
500.0,500,167.994141
500.0,500,168.644785
500.0,500,172.965962
500.0,500,173.709626
500.0,500,174.549891
500.0,500,177.059407
500.0,500,177.794245
500.0,500,178.392964
500.0,500,178.967484
500.0,500,180.738744
500.0,500,181.305734
500.0,500,181.942598
500.0,500,186.523482
500.0,500,188.794897
500.0,500,189.358008
500.0,500,189.987348
500.0,500,190.569461
500.0,500,192.400377
500.0,500,193.01721
500.0,500,193.596637
500.0,500,194.17683
500.0,500,196.009811
500.0,500,200.142892
500.0,500,200.757377
500.0,500,201.331975
500.0,500,203.149732
500.0,500,203.766847
500.0,500,204.346676
500.0,500,204.907194
500.0,500,206.802804
500.0,500,207.414494
500.0,500,207.99319
500.0,500,211.999263
500.0,500,213.822708
500.0,500,214.387109
500.0,500,214.950848
500.0,500,215.515584
500.0,500,217.397746
500.0,500,217.999207
500.0,500,218.675432
500.0,500,219.348383
500.0,500,221.204259
